"latitud","longitud","user","id","address","price","title","review","rating","sector"
"51.577624196861045","-0.09971386189837189","24742211","5475210","LB of Haringey, Londres","46","Cozy 1 Bedroom in North London","6","4.5","bajo"
"51.47449285237738","-0.18856111841314666","737373","187077","Sands End, Londres","39","small flat-no sharing-central-zone2","59","4.5","bajo"
"51.58975020665048","-0.08003099988718516","3006524","9491262","LB of Haringey, Londres","70","Large 1bed Victorian flat near tube","0","0","bajo"
"51.45528480008916","-0.10683874602646741","5318226","7393648","Brixton, Londres","76","Bright, spacious flat in Herne Hill","2","0","bajo"
"51.445954692572116","-0.12881863508855768","26124613","8512111","Streatham, Londres","76","Welcoming and comfortable studio","2","0","bajo"
"51.58297696022214","-0.09883151765569556","36541804","7059184","LB of Haringey, Londres","62","Studio Flat in Harringay","7","5.0","bajo"
"51.605035305197575","-0.12022036903549374","21325885","6486858","LB of Haringey, Londres","70","Stunning garden flat close to tube","0","0","bajo"
"51.43006234425548","-0.34611971814019404","48839979","9420091","LB of Richmond upon Thames, Gran Londres","70","Cosy One Bedroom Flat","0","0","bajo"
"51.554559542990994","-0.22963131364182815","48748699","9399644","LB of Brent, Londres","64","Cute, Light and Bright, Loft Studio","0","0","bajo"
"51.57177772912231","-0.3603879913488477","46372483","9627621","LB of Harrow, Harrow","55","Heartland Welbeck","0","0","bajo"
"51.39883158124478","-0.08227089530882234","35351106","9409799","LB of Croydon, Londres","62","S. Norwood, City & Gatwick 20 mins.","1","0","bajo"
"51.51917209081044","-0.19763919564480345","2866851","582175","Westbourne Green, Londres","70","Nov £45 SALE!  8ppl Notting Hill!","115","4.0","bajo"
"51.59267064885789","-0.03747383525440229","13963129","2728436","LB of Waltham Forest, Londres","68","Modern Studio Close to Tube!","9","5.0","bajo"
"51.598729592140934","-0.3356634053387955","34642287","7817818","LB of Harrow, Harrow","55","Single Studio Ground Floor B","2","0","bajo"
"51.49068554339869","-0.21370997507593223","36558907","6972368","Hammersmith, Londres","76","BRIGHT STUDIO FLAT  WEST KENSINGTON","14","4.5","bajo"
"51.49880298329571","0.12576533303369317","44332596","8416795","LB of Bexley, Londres","56","Feel @ home-away from home!!!","1","0","bajo"
"51.5389460761767","-0.056959333265714965","102885","340935","Hackney, Londres","15","Quiet London Fields 2 Bedroom Home","13","3.5","bajo"
